ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.965939,5.0078435
0,1,0.5,0.6,9,8.715075,4.992125
0,2,0.5,0.7,8,8.227799,4.531503
0,3,0.5,0.8,7,7.398628,4.026578
0,4,0.5,0.9,6,7.1588144,3.7933023
0,5,0.5,1.0,5,7.3221736,4.080791
0,6,0.5,1.1,6,7.2870607,4.264477
0,7,0.5,1.2,7,7.6760726,4.3799214
0,8,0.5,1.3,8,7.846945,4.6241918
0,9,0.5,1.4,9,8.871521,4.813602
0,10,0.5,1.5,10,8.691729,5.2094717
0,11,0.5,1.6,11,8.858933,5.400498
0,12,0.5,1.7,12,10.095563,5.8923097
0,13,0.5,1.8,13,10.50494,6.300559
0,14,0.5,1.9,14,11.202321,6.452227
0,15,0.5,2.0,15,11.491102,6.7905626
0,16,0.5,2.1,16,11.984275,7.005961
0,17,0.5,2.2,17,12.528389,7.388549
0,18,0.5,2.3,18,12.787212,7.8795295
0,19,0.5,2.4,19,13.732472,8.340859
0,20,0.5,2.5,20,13.718661,8.527915
0,21,0.5,2.6,21,13.95477,8.668737
0,22,0.5,2.7,22,14.015324,9.017796
0,23,0.5,2.8,23,14.005223,9.288165
0,24,0.5,2.9,24,14.430572,9.617207
0,25,0.5,3.0,25,14.655764,9.857464
0,26,0.5,3.1,26,14.938258,10.31264
1,0,0.6,0.5,9,8.664964,4.7111635
1,1,0.6,0.6,8,8.459899,4.623004
1,2,0.6,0.7,7,7.643352,4.1272535
1,3,0.6,0.8,6,7.1548142,3.7580934
1,4,0.6,0.9,5,6.8473177,3.608983
1,5,0.6,1.0,4,6.618003,3.762896
1,6,0.6,1.1,5,6.840583,3.8855152
1,7,0.6,1.2,6,7.2769837,3.9834087
1,8,0.6,1.3,7,7.635638,4.255692
1,9,0.6,1.4,8,8.256768,4.609
1,10,0.6,1.5,9,8.392492,5.102101
1,11,0.6,1.6,10,8.56913,5.092157
1,12,0.6,1.7,11,9.836065,5.738107
1,13,0.6,1.8,12,10.304179,6.085379
1,14,0.6,1.9,13,11.037546,6.4509244
1,15,0.6,2.0,14,11.517247,6.742916
1,16,0.6,2.1,15,11.873225,6.7478433
1,17,0.6,2.2,16,12.50996,7.194316
1,18,0.6,2.3,17,12.769234,7.7146716
1,19,0.6,2.4,18,13.329272,8.150664
1,20,0.6,2.5,19,13.932911,8.4529
1,21,0.6,2.6,20,13.818347,8.497119
1,22,0.6,2.7,21,13.870156,8.745475
1,23,0.6,2.8,22,13.883858,9.166825
1,24,0.6,2.9,23,14.417258,9.657523
1,25,0.6,3.0,24,14.75812,10.048052
1,26,0.6,3.1,25,14.927797,10.217826
2,0,0.7,0.5,8,7.9683466,4.2385893
2,1,0.7,0.6,7,7.4893026,3.9501379
2,2,0.7,0.7,6,6.50956,3.415821
2,3,0.7,0.8,5,6.1031513,3.207825
2,4,0.7,0.9,4,5.49838,2.8162131
2,5,0.7,1.0,3,5.045048,2.87941
2,6,0.7,1.1,4,5.3736057,2.8038976
2,7,0.7,1.2,5,6.121082,3.1632555
2,8,0.7,1.3,6,6.719141,3.4917703
2,9,0.7,1.4,7,7.3464785,3.9922
2,10,0.7,1.5,8,7.806084,4.500647
2,11,0.7,1.6,9,7.7623205,4.53253
2,12,0.7,1.7,10,9.363222,5.2748923
2,13,0.7,1.8,11,10.036693,5.75554
2,14,0.7,1.9,12,10.694254,6.0169396
2,15,0.7,2.0,13,11.31389,6.69396
2,16,0.7,2.1,14,11.384406,6.615584
2,17,0.7,2.2,15,12.100079,7.0939384
2,18,0.7,2.3,16,12.911823,7.603356
2,19,0.7,2.4,17,13.3907175,7.961977
2,20,0.7,2.5,18,13.810918,8.568549
2,21,0.7,2.6,19,13.897582,8.68846
2,22,0.7,2.7,20,14.335568,9.147877
2,23,0.7,2.8,21,14.564488,9.573148
2,24,0.7,2.9,22,14.778067,9.992016
2,25,0.7,3.0,23,15.040551,10.480194
2,26,0.7,3.1,24,15.145129,10.672586
3,0,0.8,0.5,7,7.409832,3.686984
3,1,0.8,0.6,6,7.2613187,3.59325
3,2,0.8,0.7,5,6.109773,3.306147
3,3,0.8,0.8,4,5.9604836,3.3127558
3,4,0.8,0.9,3,4.855351,2.9966593
3,5,0.8,1.0,2,4.4409857,2.561183
3,6,0.8,1.1,3,4.3376913,2.526182
3,7,0.8,1.2,4,5.775823,3.426245
3,8,0.8,1.3,5,6.2365074,3.6643388
3,9,0.8,1.4,6,6.486573,3.698931
3,10,0.8,1.5,7,7.0423865,4.1235757
3,11,0.8,1.6,8,7.246457,4.335017
3,12,0.8,1.7,9,8.726634,5.166975
3,13,0.8,1.8,10,10.057042,5.75217
3,14,0.8,1.9,11,10.500739,5.8408456
3,15,0.8,2.0,12,11.058707,6.4667296
3,16,0.8,2.1,13,11.232136,6.6536074
3,17,0.8,2.2,14,11.9702835,7.0406017
3,18,0.8,2.3,15,12.923683,7.6699376
3,19,0.8,2.4,16,13.505229,7.8687
3,20,0.8,2.5,17,13.614984,8.449676
3,21,0.8,2.6,18,13.79235,8.758702
3,22,0.8,2.7,19,14.517957,9.566493
3,23,0.8,2.8,20,14.758923,9.848416
3,24,0.8,2.9,21,15.014797,9.848224
3,25,0.8,3.0,22,14.676268,10.147312
3,26,0.8,3.1,23,14.720963,10.323089
4,0,0.9,0.5,6,6.6508355,3.6039038
4,1,0.9,0.6,5,6.3649836,3.530683
4,2,0.9,0.7,4,4.770109,3.1295722
4,3,0.9,0.8,3,4.465426,3.0401237
4,4,0.9,0.9,2,3.8421447,3.4502778
